(venv) iaramsey@iaramsey-XPS-15-9575:~/Documents/networks/networks_project_3$ gcc entity.c simulator.c -o myproject
(venv) iaramsey@iaramsey-XPS-15-9575:~/Documents/networks/networks_project_3$ ./myproject 0.14 0.25 10 10 0 10 test1.txt
A: timeout occurred resending window
A: sending packet 1, base is 1
A: sending packet 2, base is 1
A: sending packet 3, base is 1
A: sending packet 4, base is 1
A: sending packet 5, base is 1
A: sending packet 6, base is 1
A: sending packet 7, base is 1
A: sending packet 8, base is 1
A: sending packet 9, base is 1
A: sending packet 10, base is 1
B: receiving packet 1 and sending ACK
A: timeout occurred resending window
A: sending packet 2, base is 2
A: sending packet 3, base is 2
A: sending packet 4, base is 2
A: sending packet 5, base is 2
A: sending packet 6, base is 2
A: sending packet 7, base is 2
A: sending packet 8, base is 2
A: sending packet 9, base is 2
A: sending packet 10, base is 2
A: sending packet 11, base is 2
A: timeout occurred resending window
A: sending packet 2, base is 2
A: sending packet 3, base is 2
A: sending packet 4, base is 2
A: sending packet 5, base is 2
A: sending packet 6, base is 2
A: sending packet 7, base is 2
A: sending packet 8, base is 2
A: sending packet 9, base is 2
A: sending packet 10, base is 2
A: sending packet 11, base is 2
A: timeout occurred resending window
A: sending packet 2, base is 2
A: sending packet 3, base is 2
A: sending packet 4, base is 2
A: sending packet 5, base is 2
A: sending packet 6, base is 2
A: sending packet 7, base is 2
A: sending packet 8, base is 2
A: sending packet 9, base is 2
A: sending packet 10, base is 2
A: sending packet 11, base is 2
B: receiving packet 2 and sending ACK
B: receiving packet 3 and sending ACK
B: receiving packet 4 and sending ACK
A: timeout occurred resending window
A: sending packet 5, base is 5
A: sending packet 6, base is 5
A: sending packet 7, base is 5
A: sending packet 8, base is 5
A: sending packet 9, base is 5
A: sending packet 10, base is 5
A: sending packet 11, base is 5
A: sending packet 12, base is 5
A: sending packet 13, base is 5
A: sending packet 14, base is 5
B: receiving packet 5 and sending ACK
A: timeout occurred resending window
A: sending packet 6, base is 6
A: sending packet 7, base is 6
A: sending packet 8, base is 6
A: sending packet 9, base is 6
A: sending packet 10, base is 6
A: sending packet 11, base is 6
